Dataset,Status,Model,#Problem,Accuracy,,,,Train Time,,,Average Memory,,
,,,,Original(%),AT(%),Improve(%),Ratio,Original(s),AT(s),Ratio,Original(MB),AT(MB),Ratio
,,134,1,73.33,87.67,14.33,0.20,17.23,35.95,2.09,1358.64,1358.64,1.00
,,135,1,87.00,88.00,1.00,0.01,76.28,133.17,1.75,1362.14,1362.07,1.00
,,136,1,50.67,86.00,35.33,0.70,8.43,17.00,2.02,1358.14,1358.14,1.00
,,137,1,54.33,87.67,33.33,0.61,60.88,74.27,1.22,1358.89,1358.89,1.00
,,138,1,46.67,87.00,40.33,0.86,88.41,168.17,1.90,1360.94,1364.44,1.00
,,139,1,49.67,77.33,27.67,0.56,21.76,41.79,1.92,1282.32,1262.33,0.98
,,140,1,49.67,85.67,36.00,0.72,21.96,40.37,1.84,1302.86,1301.82,1.00
,,141,1,49.67,71.67,22.00,0.44,22.11,64.50,2.92,1309.96,1310.42,1.00
,,142,1,49.67,85.33,35.67,0.72,23.10,44.49,1.93,1313.81,1312.17,1.00
,,143,1,49.67,84.67,35.00,0.70,22.42,42.29,1.89,1319.83,1314.67,1.00
,,144,1,0.00,87.00,87.00,n.a.,25.17,40.69,1.62,1322.78,1322.78,1.00
,,145,1,0.00,76.67,76.67,n.a.,30.36,45.68,1.50,1321.28,1321.03,1.00
,,146,1,0.00,88.33,88.33,n.a.,18.00,28.44,1.58,1320.03,1321.28,1.00
,,147,1,0.00,87.00,87.00,n.a.,18.69,28.34,1.52,1320.03,1319.82,1.00
,,148,1,0.00,79.00,79.00,n.a.,28.41,42.53,1.50,1323.03,1319.28,1.00
,,149,1,0.00,84.33,84.33,n.a.,24.09,37.41,1.55,1320.78,1323.03,1.00
,,150,1,0.00,79.67,79.67,n.a.,21.20,32.17,1.52,1323.54,1323.41,1.00
,,151,1,0.00,81.33,81.33,n.a.,22.43,34.02,1.52,1323.43,1321.79,1.00
,,152,1,49.67,87.33,37.67,0.76,19.13,80.49,4.21,1318.66,1323.56,1.00
,,153,1,49.67,87.00,37.33,0.75,29.31,60.99,2.08,1324.03,1318.60,1.00
,,154,1,49.67,60.00,10.33,0.21,17.75,126.88,7.15,1321.75,1324.25,1.00
,,155,1,49.67,82.33,32.67,0.66,26.04,59.56,2.29,1322.51,1324.74,1.00
,,156,1,64.00,83.00,19.00,0.30,35.50,290.64,8.19,1322.52,1323.51,1.00
,,157,1,49.67,87.33,37.67,0.76,21.78,106.03,4.87,1321.78,1321.62,1.00
,,158,2,49.67,71.67,22.00,0.44,17.80,250.68,14.08,1321.28,1321.28,1.00
,Normal,159,-,76.67,-,-,-,16.20,16.94,1.05,1305.43,1302.58,1.00
,,160,-,68.00,-,-,-,29.14,30.53,1.05,1313.31,1306.58,0.99
,,161,-,78.33,-,-,-,15.50,16.75,1.08,1319.09,1317.01,1.00
,,162,-,85.00,-,-,-,19.92,20.90,1.05,1326.13,1324.84,1.00
,,163,-,84.00,-,-,-,98.44,99.89,1.01,1323.45,1325.70,1.00
,,164,-,86.00,-,-,-,26.22,28.53,1.09,1328.53,1326.80,1.00
,,165,-,85.33,-,-,-,20.28,20.98,1.03,1332.32,1329.80,1.00
,,166,-,86.67,-,-,-,15.41,16.62,1.08,1329.30,1329.30,1.00
,,167,-,79.00,-,-,-,25.48,27.47,1.08,1329.05,1329.55,1.00
,,168,-,86.67,-,-,-,19.26,20.22,1.05,1330.09,1331.84,1.00
,,169,-,84.00,-,-,-,14.26,14.83,1.04,1330.09,1330.09,1.00
,,170,-,73.00,-,-,-,13.15,13.84,1.05,1330.09,1330.09,1.00
,,171,-,84.00,-,-,-,54.17,54.98,1.01,1329.34,1329.34,1.00
,,172,-,85.00,-,-,-,21.66,24.02,1.11,1329.34,1329.34,1.00
,,173,-,59.00,-,-,-,40.61,42.53,1.05,1333.34,1333.34,1.00
,,174,-,68.67,-,-,-,23.79,25.75,1.08,1330.85,1331.10,1.00
,,175,-,83.33,-,-,-,14.47,15.15,1.05,1330.16,1330.16,1.00
,,176,-,83.67,-,-,-,23.00,23.48,1.02,1333.63,1333.63,1.00
,,177,-,85.33,-,-,-,29.55,32.04,1.08,1337.51,1338.49,1.00
,,178,-,86.67,-,-,-,14.95,16.04,1.07,1366.00,1361.03,1.00
,,179,-,84.00,-,-,-,54.62,55.14,1.01,1357.75,1359.00,1.00
,,180,-,86.00,-,-,-,22.38,24.82,1.11,1360.62,1360.62,1.00
,,181,-,80.67,-,-,-,6.64,7.70,1.16,1361.88,1361.66,1.00
,,182,-,83.33,-,-,-,65.27,65.82,1.01,1360.38,1361.88,1.00
,,183,-,75.67,-,-,-,15.62,16.43,1.05,1358.38,1358.38,1.00
,,184,-,73.33,-,-,-,10.28,11.36,1.11,1357.63,1357.63,1.00
,,185,-,79.00,-,-,-,26.35,28.58,1.08,1359.16,1357.38,1.00
,,186,-,76.67,-,-,-,16.16,17.40,1.08,1358.64,1358.89,1.00
,,187,-,86.33,-,-,-,15.70,16.65,1.06,1358.89,1358.89,1.00
,,188,-,85.67,-,-,-,24.57,25.47,1.04,1358.39,1358.21,1.00
,,189,-,86.00,-,-,-,19.04,20.00,1.05,1359.14,1359.14,1.00
,,190,-,85.00,-,-,-,23.38,24.48,1.05,1358.39,1359.14,1.00
,,191,-,86.33,-,-,-,21.55,23.62,1.10,1362.89,1362.78,1.00
,,192,-,86.33,-,-,-,60.62,63.15,1.04,1357.64,1358.14,1.00
,,193,-,84.67,-,-,-,14.22,14.53,1.02,1358.89,1357.64,1.00
,,194,-,84.00,-,-,-,76.42,77.76,1.02,1362.44,1360.94,1.00
